id|title|categoryId|director|actors|releaseYear|durationMinutes|rating|viewCount|favoriteCount|synopsis
MOV-001|Inception|CAT-01|Christopher Nolan|Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page|2010|148|8.8|45200|12400|A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea.
MOV-002|Interstellar|CAT-01|Christopher Nolan|Matthew McConaughey,Anne Hathaway,Jessica Chastain|2014|169|8.7|52100|15300|A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
MOV-003|The Matrix|CAT-01|Lana Wachowski,Lilly Wachowski|Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss|1999|136|8.7|38900|10200|A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
MOV-004|Blade Runner 2049|CAT-01|Denis Villeneuve|Ryan Gosling,Harrison Ford,Ana de Armas|2017|164|8.0|22400|6700|Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard.
MOV-005|Dune: Part Two|CAT-01|Denis Villeneuve|Timothee Chalamet,Zendaya,Rebecca Ferguson|2024|166|8.6|61000|18500|Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
MOV-006|The Dark Knight|CAT-02|Christopher Nolan|Christian Bale,Heath Ledger,Aaron Eckhart|2008|152|9.0|78000|24500|When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests.
MOV-007|Mad Max: Fury Road|CAT-02|George Miller|Tom Hardy,Charlize Theron,Nicholas Hoult|2015|120|8.1|31200|8400|In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners.
MOV-008|John Wick: Chapter 4|CAT-02|Chad Stahelski|Keanu Reeves,Donnie Yen,Bill Skarsgard|2023|169|7.7|41500|9900|John Wick uncovers a path to defeating The High Table, but before he can earn his freedom, he must face a new enemy with powerful alliances.
MOV-009|Gladiator|CAT-02|Ridley Scott|Russell Crowe,Joaquin Phoenix,Connie Nielsen|2000|155|8.5|39400|11300|A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
MOV-010|Top Gun: Maverick|CAT-02|Joseph Kosinski|Tom Cruise,Miles Teller,Jennifer Connelly|2022|130|8.3|56800|14200|After thirty years, Maverick is still pushing the envelope as a top naval aviator, training a detachment of graduates for a specialized mission.
MOV-011|The Godfather|CAT-03|Francis Ford Coppola|Marlon Brando,Al Pacino,James Caan|1972|175|9.2|68900|22100|The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
MOV-012|The Shawshank Redemption|CAT-03|Frank Darabont|Tim Robbins,Morgan Freeman,Bob Gunton|1994|142|9.3|89200|29800|Over the course of several years, two convicts form a friendship, seeking solace and eventual redemption through basic compassion.
MOV-013|Fight Club|CAT-03|David Fincher|Brad Pitt,Edward Norton,Helena Bonham Carter|1999|139|8.8|54100|16200|An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
