id|name|description
CAT-01|Sci-Fi|Science fiction, futuristic technology, and space exploration
CAT-02|Action|High octane thrills, stunts, combat, and intense physical feats
CAT-03|Drama|Narrative fiction with in-depth character development and emotional conflicts
CAT-04|Comedy|Light-hearted, humorous, and entertaining stories
CAT-05|Horror|Suspenseful, frightening, and supernatural experiences
CAT-06|Romance|Passionate, emotional relationships and romantic journeys
CAT-07|Thriller|Psychological twists, mystery, and gripping tension
CAT-08|Animation|Visual animated masterpieces for all ages
CAT-09|Documentary|Real-world explorations, nature, history, and biographical documentaries
CAT-10|Fantasy|Magical realms, mythical creatures, and epic adventures
